,,Elbow angle (degrees),,,,Elbow angle (rad),,,,Elbow angular velocity (rad/s),,,,Elbow angular acceleration (rad/s^2),,,
,,,,,,,,,,,,,,,,,
MAX,,57,1.524,45.594,19.747,0.994837673636768,0.026598817800394,0.795765419154295,0.34465016739132,2.55097323471493,1.54566358556618,2.58029476614838,0.531976356007879,25.1327412287156,16.0849543863803,18.5982285092481,11.8123883774969
MIN,,20.339,-26.852,15.738,11.669,0.354982516563127,-0.468655810745517,0.274679917678868,0.203662470415218,-2.44625347959525,-1.65038334068585,-1.94988184032807,-0.68277280338019,-25.8867234655782,-22.8707945181338,-25.6353960532889,-8.29380460547788
,,,,,,,,,,,,,,,,,
frame,t (sec),R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Add_Ang,R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Flex_Ang,R_Elbow_Ang_Vel,R_Shl_Flex_Vel,L_Elbow_Ang_Vel,L_Shl_Flex_Vel,R_Elbow_Ang_Acc,R_Shl_Flex_Acc,L_Elbow_Ang_Acc,L_Shl_Flex_Acc
41,0.341666666666667,55.544,-6.112,19.283,17.812,0.96942567972773,-0.106674523881893,0.336551839662067,0.31087804636523,0.661828852356246,1.40324471860345,-0.483805268652828,0.056548667764616,-23.373449342709,8.04247719319121,1.00530964914812,1.00530964914856
42,0.35,55.228,-6.782,19.514,17.785,0.963910439291428,-0.118368229870255,0.340583550234173,0.310406807467192,0.85660759687882,1.33622407532685,-0.492182849062395,0.048171087355044,-22.8707945181323,8.54513201776309,1.75929188601169,2.26194671058511
43,0.358333333333333,54.819,-7.42,19.749,17.762,0.956772042650771,-0.129503430497979,0.34468507397636,0.310005381739233,1.04719755119659,1.26501464184549,-0.50684361477916,0.029321531433502,-22.1168122812728,8.0424771931907,3.76991118430632,3.01592894744476
44,0.366666666666667,54.319,-8.024,19.991,17.748,0.9480453963908,-0.140045219180025,0.348908770766186,0.309761035643954,1.2315043202072,1.19799399856891,-0.538259541315045,0.004188790204795,-21.1115026321242,7.03716754404113,4.52389342117027,2.51327412287406
45,0.375,53.731,-8.596,20.248,17.746,0.937782860389073,-0.150028502501433,0.353394266943812,0.309726129058914,1.40743350880823,1.1393509357019,-0.575958653158131,-0.016755160819155,-19.3522107461102,7.03716754404028,5.780530482605,2.51327412287009
46,0.383333333333333,53.059,-9.14,20.523,17.754,0.926054247815671,-0.159523093632282,0.358193922386796,0.309865755399073,1.56870193169248,1.08070787283489,-0.624129740513173,-0.037699111843073,-18.0955736846832,6.03185789489351,6.2831853071787,1.00530964914928
47,0.391666666666667,52.31,-9.656,20.821,17.772,0.912981731718234,-0.168528992572572,0.363395003557739,0.310179914664432,1.71949837906484,1.03044239037745,-0.676489618072995,-0.04607669225265,-15.3309721495148,6.28318530717879,7.53982236861638,3.74700270810989E-14
48,0.4,51.489,-10.148,21.144,17.794,0.89865257855936,-0.177116012492385,0.369032417041681,0.310563887099871,1.8472564803108,0.978082512817624,-0.739321471144799,-0.04607669225265,-13.3203528512197,6.78584013175463,7.79114978090336,-1.50796447372241
49,0.408333333333333,50.607,-10.615,21.497,17.816,0.88325877455677,-0.185266700099198,0.375193429301221,0.31094785953531,1.95825942073763,0.921533845053002,-0.804247719318993,-0.033510321638297,-11.5610609652122,7.03716754404004,8.5451320177634,-3.51858377202176
50,0.416666666666667,49.672,-11.055,21.881,17.832,0.866939946050623,-0.192946148807973,0.381895493628879,0.311227112215629,2.05460159544773,0.862890782186002,-0.875457152800355,-0.004188790204782,-11.0584061406344,7.03716754404188,8.0424771931898,-4.27256600888218
51,0.425,48.691,-11.467,22.299,17.834,0.849818266088559,-0.20013690532619,0.389190969902215,0.311262018800669,2.14675497995302,0.804247719318986,-0.942477796076936,0.031415926535903,-10.304423903775,7.28849495632826,7.79114978090391,-5.27787565802911
52,0.433333333333333,47.666,-11.851,22.749,17.819,0.831928641255617,-0.206838969653848,0.39704495153619,0.311000219412869,2.23262517915114,0.743510261349584,-1.00740404425114,0.075398223686145,-9.55044166691188,7.79114978090296,6.78584013175145,-5.78053048260688
53,0.441666666666667,46.6,-12.206,23.23,17.783,0.813323431429358,-0.213034888498428,0.405439985238283,0.310371900882152,2.31221219304208,0.678584013175393,-1.06395271201573,0.123569311041202,-9.29911425463056,7.53982236861489,6.78584013175711,-5.78053048260544
